campaign_name,channel,campaign_type,region,objective,quarter,impressions,clicks,conversions,spend,revenue,likes,shares,comments,video_views,bounce_rate,ctr,cpc,cost_per_conversion,roas,engagement_rate,conversion_rate
Campaign_000,Pinterest,Lead Gen,LATAM,Sales,Q2_2024,122221,1314,3236,59266.87,176278.2,41057,7436,4100,42092,59.58,1.08,45.1,18.31,2.97,43.03,246.27
Campaign_001,TikTok,Brand Awareness,North America,Sales,Q1_2024,809666,49997,3330,98250.72,389023.34,41881,8543,2284,62539,29.7,6.18,1.97,29.5,3.96,6.51,6.66
Campaign_002,X (Twitter),Brand Awareness,LATAM,Leads,Q2_2024,270669,11041,2623,88535.7,470912.56,49706,5259,793,197149,35.33,4.08,8.02,33.75,5.32,20.6,23.76
Campaign_003,LinkedIn,Conversion,LATAM,Traffic,Q1_2024,769224,25438,4666,60479.05,40846.05,26300,5301,719,152889,76.8,3.31,2.38,12.96,0.68,4.2,18.34
Campaign_004,Pinterest,Lead Gen,North America,Retention,Q2_2024,849873,2943,2649,90468.67,269449.89,3826,2827,4859,168933,53.61,0.35,30.74,34.15,2.98,1.35,90.01
Campaign_005,Snapchat,Engagement,APAC,Retention,Q3_2024,535134,10957,4083,98929.31,441854.08,23716,9434,2854,13428,65.04,2.05,9.03,24.23,4.47,6.73,37.26
Campaign_006,Email,Lead Gen,LATAM,Sales,Q3_2024,545242,10880,286,74591.93,45841.72,27823,3884,780,175006,53.48,2.0,6.86,260.81,0.61,5.96,2.63
Campaign_007,Pinterest,Conversion,Europe,Traffic,Q4_2024,351383,8283,1354,7433.65,413134.45,37674,9696,4031,141330,53.15,2.36,0.9,5.49,55.58,14.63,16.35
Campaign_008,X (Twitter),Conversion,LATAM,Sales,Q3_2024,254761,44741,3480,40756.44,182111.67,35058,4221,2252,57775,25.65,17.56,0.91,11.71,4.47,16.3,7.78
Campaign_009,LinkedIn,Lead Gen,North America,Awareness,Q3_2024,842946,17868,1351,83944.75,164436.88,9208,671,83,5469,40.62,2.12,4.7,62.14,1.96,1.18,7.56
Campaign_010,TikTok,Conversion,North America,Sales,Q3_2024,884668,15828,2591,23826.35,488845.86,12278,3384,3931,28854,36.95,1.79,1.51,9.2,20.52,2.21,16.37
Campaign_011,X (Twitter),Lead Gen,North America,Sales,Q1_2024,894011,26715,2101,83233.61,104425.25,35743,9218,860,137328,43.44,2.99,3.12,39.62,1.25,5.13,7.86
Campaign_012,X (Twitter),Retargeting,APAC,Retention,Q3_2024,147541,34095,491,12913.54,348131.0,31424,217,2153,76256,67.9,23.11,0.38,26.3,26.96,22.9,1.44
Campaign_013,Email,Lead Gen,LATAM,Retention,Q3_2024,957609,27806,2126,5647.59,411613.16,38460,2675,1036,165009,42.32,2.9,0.2,2.66,72.88,4.4,7.65
Campaign_014,YouTube,Lead Gen,APAC,Retention,Q4_2024,838533,20415,3230,39024.97,25385.83,17924,2503,4945,99134,47.1,2.43,1.91,12.08,0.65,3.03,15.82
Campaign_015,LinkedIn,Conversion,APAC,Awareness,Q3_2024,74323,40415,2707,4636.46,336840.8,45460,6823,3276,132723,43.84,54.38,0.11,1.71,72.65,74.75,6.7
Campaign_016,Google Ads,Conversion,North America,Retention,Q3_2024,626210,37719,3848,95769.76,476017.24,9027,642,3581,181360,25.6,6.02,2.54,24.89,4.97,2.12,10.2
Campaign_017,X (Twitter),Brand Awareness,North America,Traffic,Q2_2024,199139,15843,854,82794.36,66488.88,28244,3093,4187,84730,46.46,7.96,5.23,96.95,0.8,17.84,5.39
Campaign_018,YouTube,Brand Awareness,APAC,Leads,Q4_2024,190448,46903,124,80276.2,448629.54,31110,3729,3461,156123,31.74,24.63,1.71,647.39,5.59,20.11,0.26
Campaign_019,Google Ads,Retargeting,LATAM,Traffic,Q4_2024,710947,39227,2225,63348.01,299414.44,22543,7133,3511,27386,31.2,5.52,1.61,28.47,4.73,4.67,5.67
Campaign_020,LinkedIn,Brand Awareness,Europe,Traffic,Q4_2024,964480,626,3974,22416.08,310219.27,14537,1689,412,147256,25.64,0.06,35.81,5.64,13.84,1.73,634.82
Campaign_021,Instagram,Lead Gen,APAC,Retention,Q4_2024,245659,28132,2139,52307.78,308407.37,44398,246,2716,33787,41.4,11.45,1.86,24.45,5.9,19.28,7.6
Campaign_022,Snapchat,Conversion,LATAM,Leads,Q4_2024,399678,42063,90,60130.13,152923.76,39878,7456,3093,21621,65.45,10.52,1.43,668.11,2.54,12.62,0.21
Campaign_023,YouTube,Brand Awareness,North America,Leads,Q4_2024,864016,44909,2131,52978.12,467924.9,11307,4453,1673,77984,36.59,5.2,1.18,24.86,8.83,2.02,4.75
Campaign_024,Facebook,Brand Awareness,North America,Leads,Q1_2024,114537,21030,4733,26763.1,473938.48,25637,6780,152,190864,38.74,18.36,1.27,5.65,17.71,28.44,22.51
Campaign_025,Instagram,Retargeting,LATAM,Awareness,Q3_2024,874909,40464,1672,52009.54,314525.81,35857,9742,4332,176325,58.56,4.62,1.29,31.11,6.05,5.71,4.13
Campaign_026,Snapchat,Retargeting,Europe,Retention,Q4_2024,251983,44827,391,49627.45,392794.25,12140,6109,3902,34051,31.75,17.79,1.11,126.92,7.91,8.79,0.87
Campaign_027,Email,Lead Gen,North America,Leads,Q3_2024,576821,3868,4102,99637.24,308067.7,42086,8565,1955,49811,73.82,0.67,25.76,24.29,3.09,9.12,106.05
Campaign_028,Pinterest,Conversion,North America,Awareness,Q3_2024,798260,4297,2124,89846.18,244777.23,22712,2378,370,30447,51.21,0.54,20.91,42.3,2.72,3.19,49.43
Campaign_029,TikTok,Retargeting,North America,Sales,Q1_2024,11917,48382,695,46874.69,332105.96,28541,295,1679,128046,46.86,405.99,0.97,67.45,7.08,256.06,1.44
Campaign_030,Facebook,Brand Awareness,LATAM,Sales,Q4_2024,292762,14218,4876,62670.8,278735.72,6571,158,4536,161326,53.47,4.86,4.41,12.85,4.45,3.85,34.29
Campaign_031,Email,Conversion,APAC,Awareness,Q2_2024,566542,35060,4313,75039.29,300750.55,35731,4047,4499,84045,29.96,6.19,2.14,17.4,4.01,7.82,12.3
Campaign_032,LinkedIn,Conversion,North America,Awareness,Q1_2024,796275,11553,659,4451.65,392997.11,43561,6559,2551,116859,56.81,1.45,0.39,6.76,88.28,6.61,5.7
Campaign_033,Email,Brand Awareness,APAC,Retention,Q2_2024,377436,22616,504,89597.22,243047.4,26623,7131,567,188490,41.79,5.99,3.96,177.77,2.71,9.09,2.23
Campaign_034,Pinterest,Retargeting,Europe,Retention,Q3_2024,519930,36744,3003,86152.55,25173.28,31448,9968,3567,145544,73.83,7.07,2.34,28.69,0.29,8.65,8.17
Campaign_035,LinkedIn,Brand Awareness,North America,Sales,Q3_2024,581650,36685,1758,46285.78,86179.74,1277,4905,2494,3471,30.13,6.31,1.26,26.33,1.86,1.49,4.79
Campaign_036,Facebook,Conversion,North America,Leads,Q1_2024,292272,2145,3522,39725.81,222110.57,4860,5290,777,120312,50.42,0.73,18.52,11.28,5.59,3.74,164.2
Campaign_037,Pinterest,Engagement,Europe,Sales,Q1_2024,395925,48023,3019,28022.98,363789.15,32879,1022,2042,139401,55.89,12.13,0.58,9.28,12.98,9.08,6.29
Campaign_038,Google Ads,Engagement,North America,Leads,Q2_2024,776641,19756,3078,48191.01,298672.93,21736,9725,3428,165937,22.0,2.54,2.44,15.66,6.2,4.49,15.58
Campaign_039,TikTok,Lead Gen,APAC,Leads,Q4_2024,724743,36340,4847,5393.29,326895.62,16453,2795,2572,46850,41.82,5.01,0.15,1.11,60.61,3.01,13.34
